clients,broadcast_messages,private_messages,avg_delay_ms,throughput_msgs_per_sec
1,0,0,0.009,0.0
1,0,0,0.009,0.0
2,0,0,0.024,0.0
3,0,0,0.099,0.0
1,0,0,0.009,0.0
2,0,0,0.49,0.0
3,0,0,0.034,0.0
1,0,0,0.025,0.0
1,0,0,0.016,0.0
1,0,0,0.051,0.0
2,0,0,0.274,0.0
3,0,0,0.143,0.0
4,0,0,0.042,0.0
4,0,0,0.673,0.0
4,0,0,0.141,0.0
4,1,0,0.12,0.0
4,2,0,0.381,0.0
4,3,0,0.577,0.0
4,4,0,0.523,0.01
4,5,0,0.204,0.01
4,6,2,1.117,0.01
4,7,3,1.08,0.01
1,0,0,0.014,0.0
2,0,0,0.41,0.0
2,1,0,0.124,0.0
2,2,0,0.219,0.01
2,2,1,0.089,0.0
1,0,0,0.009,0.0
1,0,0,0.025,0.0
2,0,0,0.123,0.0
2,1,0,1.284,0.0
