timestamp,clients,broadcast_messages,private_messages,avg_delay_ms,throughput_msgs_per_sec,cpu_percent,memory_mb
2026-07-21 23:18:58,1,0,0,0.019,0.0,0.0,22.86
2026-07-21 23:19:26,2,0,0,1.981,0.0,0.0,22.93
2026-07-21 23:21:14,1,0,0,0.037,0.0,0.0,22.75
2026-07-21 23:21:43,2,0,0,0.033,0.0,0.0,22.81
2026-07-21 23:24:34,3,0,0,0.544,0.0,0.0,22.85
2026-07-21 23:24:56,4,0,0,0.132,0.0,0.1,22.88
2026-07-21 23:25:29,5,0,0,1.184,0.0,0.0,22.9
2026-07-21 23:26:05,6,0,0,0.611,0.0,0.0,22.94
2026-07-21 23:26:35,7,0,0,1.006,0.0,0.1,22.97
2026-07-21 23:27:04,8,0,0,1.549,0.0,0.0,23.0
2026-07-21 23:27:47,9,0,0,0.588,0.0,0.0,23.04
2026-07-21 23:29:23,9,1,0,0.836,0.0,0.0,23.09
2026-07-21 23:29:34,9,2,0,0.314,0.0,0.1,23.12
2026-07-21 23:29:47,9,3,0,0.175,0.01,0.0,23.15
2026-07-21 23:29:58,9,4,0,2.894,0.01,0.0,23.18
2026-07-21 23:30:08,9,5,0,2.293,0.01,0.2,23.21
2026-07-21 23:30:17,9,6,0,1.248,0.01,0.0,23.25
2026-07-21 23:30:25,9,7,0,0.66,0.01,0.1,23.28
2026-07-21 23:35:23,8,7,3,5.437,0.01,0.0,23.3
2026-07-21 23:41:30,1,0,0,0.017,0.0,0.0,22.91
2026-07-21 23:44:24,2,0,0,0.184,0.0,0.0,22.98
2026-07-21 23:44:38,2,1,0,0.41,0.0,0.0,23.03
2026-07-21 23:44:44,2,2,0,0.099,0.01,0.2,23.06
2026-07-21 23:47:08,1,2,1,0.084,0.01,0.0,23.08
2026-07-22 19:28:52,1,0,0,0.043,0.0,0.1,22.86
2026-07-22 19:29:02,1,1,0,0.014,0.04,0.1,22.92
2026-07-22 19:29:27,2,1,0,0.046,0.02,0.0,22.96
2026-07-22 19:29:43,2,2,0,0.063,0.03,0.0,23.0
2026-07-22 19:29:50,2,3,0,0.203,0.04,0.1,23.02
2026-07-22 19:30:08,1,3,0,0.288,0.03,0.0,23.03
2026-07-22 19:30:09,0,3,0,0.008,0.03,0.0,23.03
